,DF,DF_acc,Fmax,Fmax_acc,SF,gender,height,id,mass,speed,stride_frequency_acc,tc,tc_acc,tce,tce_acc,tf,tf_acc,tfe,tfe_acc
225,39.20112158585913,36.450976820535544,2.256982686663036,2.371583588175331,1.3111834888051308,1.0,1.859,87.0,73.0,9.0,1.3113289210990644,298.9999999999999,278.015035,188.00000000000009,187.19433999999998,82.00000000000011,102.93300500000001,192.99999999999997,193.74746
226,34.39878675420509,35.56522922135827,2.478411156214654,2.476403669724771,1.332627838550354,1.0,1.859,87.0,73.0,11.0,1.332724785510304,258.2500000000001,266.899565,173.49999999999991,184.520975,116.49999999999989,108.01587000000002,200.75000000000003,190.152215
227,33.41435394884937,35.4536360507511,2.553559510843003,2.491987767584098,1.3779654197614248,1.0,1.859,87.0,73.0,13.0,1.3714329839581005,242.49999999999994,258.5422750000001,167.25000000000003,179.091215,120.49999999999996,106.15856999999998,195.75000000000006,185.832785
228,36.18608782074125,34.847821364349315,2.5308846050003218,2.524867991845056,1.3124169661309129,0.0,1.615,88.0,53.0,9.0,1.2979047617040043,275.7499999999999,268.503665,167.24999999999997,187.85560500000003,105.0,116.76381500000005,214.25,197.16274500000003
229,35.3268859300383,34.53862717928085,2.5528854676477453,2.5392910295616717,1.3510095835152862,0.0,1.615,88.0,53.0,11.0,1.3559802387897766,261.50000000000006,254.721745,168.00000000000006,179.759935,108.74999999999997,114.09839999999997,202.24999999999997,189.242215
230,33.76747269437186,34.274779890036434,2.6352646528283072,2.553225280326197,1.4070287543841635,0.0,1.615,88.0,53.0,13.0,1.4078227153419443,240.00000000000006,243.47933000000003,163.74999999999991,172.69079,115.49999999999993,111.68702,191.7500000000001,182.53785999999997
231,38.42052837861719,36.508077780295174,2.34235729588716,2.376656982670744,1.4892785746258324,1.0,1.71,89.0,62.0,9.0,1.4881456533948556,258.0,245.33819499999998,154.24999999999983,165.61515000000003,77.75000000000003,90.8308,181.75000000000017,170.696135
232,34.259804444918956,35.85425620704929,2.4965698043207456,2.450540774719674,1.5226961333831563,1.0,1.71,89.0,62.0,11.0,1.523386925929334,225.00000000000006,235.361065,143.74999999999991,161.62891,103.49999999999991,92.879245,184.50000000000006,166.67343999999997
233,33.061097573000154,35.58817077085037,2.5216501260157154,2.4816636085626906,1.554132924696299,1.0,1.71,89.0,62.0,13.0,1.5536714632877353,212.74999999999994,229.06456000000003,144.7500000000001,158.62478000000002,109.0,92.84197499999998,176.99999999999986,163.31365
234,34.83802756331013,34.841301181000716,2.448552584336844,2.5762232415902138,1.505118024654585,1.0,1.81,91.0,70.0,9.0,1.5082960564030894,231.50000000000014,231.03188500000002,148.75000000000006,162.87107,100.49999999999986,100.04972000000002,182.99999999999997,168.45181499999998
235,31.99677758333605,34.58181697540169,2.6169591459180594,2.6217553516819567,1.5129422726131825,1.0,1.81,91.0,70.0,11.0,1.5131696216259256,211.49999999999994,228.54433,140.49999999999991,162.86486500000004,119.24999999999997,101.82829,190.00000000000006,167.60555000000002
236,31.006145518629587,34.91367987417688,2.6971218169193856,2.5793185524974507,1.548142383962236,1.0,1.81,91.0,70.0,13.0,1.5527104892741836,200.24999999999991,224.87590999999998,135.25000000000006,158.75991499999998,122.75000000000004,96.81928999999998,187.49999999999991,163.14696999999998
237,36.534579127701186,35.425164037503976,2.462878969688229,2.5075795107033634,1.4050998105984542,1.0,1.82,92.0,67.0,9.0,1.4053615853626176,260.0000000000001,252.090245,155.74999999999991,174.97178,95.99999999999993,103.19436499999999,200.50000000000009,180.668385
238,33.07132472515329,35.17792866369476,2.604126655140948,2.5362808358817532,1.4241063123385,1.0,1.82,92.0,67.0,11.0,1.4239462742708269,232.25000000000006,247.06709,149.75000000000006,173.073885,118.74999999999996,104.06193999999998,201.49999999999994,177.98658500000005
239,31.210568588851572,35.12038718416306,2.666696059354393,2.565292558613659,1.420146399933039,1.0,1.82,92.0,67.0,13.0,1.413648613151173,219.75,248.4753,148.5,174.99237999999997,132.75,105.18241500000002,204.0,178.2833
240,37.62374807657854,35.94088031201553,2.2471214230284917,2.421260448521916,1.3261205851233706,1.0,1.672,93.0,71.0,9.0,1.3250028553090005,283.75000000000006,271.34008500000004,185.49999999999994,185.335445,93.74999999999986,106.35418,192.25000000000006,192.46979499999998
241,35.32850587107369,35.43344644085995,2.3673436809049817,2.4900973496432206,1.3827553762265956,1.0,1.672,93.0,71.0,11.0,1.3839260203520614,255.50000000000009,256.04822499999995,172.75000000000006,177.453635,105.99999999999997,105.43748000000001,188.49999999999994,183.93031000000002
242,33.14952434847187,35.32070372544213,2.476089726346897,2.5012584097859323,1.3957490663493373,1.0,1.672,93.0,71.0,13.0,1.4121262906042062,237.49999999999994,250.17193000000003,165.25000000000003,173.71997000000005,120.75000000000007,103.70442000000003,192.99999999999997,180.15651499999998
243,40.818094388706264,37.60001438055282,2.1578387814131923,2.2671539245667685,1.4462541694991327,1.0,1.755,96.0,65.0,9.0,1.4471393607541614,282.25,259.83445500000005,160.99999999999991,169.26734500000003,63.24999999999994,85.55363,184.25000000000003,175.935065
244,37.658999551370314,37.072722246512875,2.2796690059118214,2.316796636085627,1.454120157883669,1.0,1.755,96.0,65.0,11.0,1.4543902825091475,258.99999999999994,254.90582500000005,155.2500000000001,168.58837,85.00000000000004,88.92934,188.74999999999994,175.35502000000002
245,33.819009926243425,36.121755214162796,2.493899569131039,2.397113149847095,1.4530852823881404,1.0,1.755,96.0,65.0,13.0,1.4534329304300482,232.74999999999991,248.54338999999996,148.24999999999994,168.42034,111.50000000000007,95.53796499999999,195.75000000000009,175.69071
246,37.45165190757426,35.48311683532596,2.4862205897575906,2.492315494393476,1.3281056218292921,1.0,1.845,97.0,73.0,9.0,1.3278323311421885,282.0,267.23498000000006,172.75,185.303185,94.2499999999999,109.596155,203.50000000000003,191.56907
247,34.075730878107045,35.04055662355192,2.6563622209372197,2.5553542303771666,1.3588377717874653,1.0,1.845,97.0,73.0,11.0,1.3579616777841577,250.75,258.05201,161.75,181.27826499999998,117.24999999999997,110.18866,206.25,186.689655
248,32.762367619826804,35.072512200096966,2.7541101812075413,2.547807849133538,1.3737388940337856,1.0,1.845,97.0,73.0,13.0,1.3758983384615833,238.5,254.91424499999994,155.24999999999997,178.73343500000001,125.24999999999997,108.29433000000002,208.25,184.416715
